id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
327,2,Not Graduate,No,9100000,18600000,20,403,18400000,11700000,20300000,9200000,0
328,0,Graduate,Yes,7300000,23300000,2,616,15700000,5900000,25800000,4100000,1
329,4,Not Graduate,No,5700000,13300000,2,333,9400000,3000000,11800000,8200000,0
330,1,Not Graduate,Yes,5300000,12000000,10,852,400000,10400000,18900000,5000000,1
331,2,Not Graduate,Yes,8500000,30900000,6,664,5700000,9900000,19800000,7400000,1
332,1,Not Graduate,Yes,3700000,10200000,4,447,300000,2000000,14500000,3200000,0
333,0,Not Graduate,No,1900000,6500000,10,523,2400000,1100000,6200000,1100000,0
334,0,Graduate,No,9700000,30400000,4,300,17100000,16600000,38100000,9200000,1
335,2,Not Graduate,Yes,9800000,34600000,16,754,12400000,14900000,34700000,6100000,1
336,2,Not Graduate,Yes,3500000,12000000,14,476,1100000,6800000,12400000,2900000,0
337,0,Not Graduate,No,4100000,8800000,18,300,10900000,6400000,8600000,3500000,0
338,1,Not Graduate,No,5300000,11500000,8,753,10000000,4200000,14400000,3000000,1
339,1,Not Graduate,Yes,4000000,9400000,8,509,1000000,4100000,10800000,5500000,0
340,5,Not Graduate,Yes,3500000,9500000,4,664,9500000,500000,7800000,5200000,1
341,0,Graduate,Yes,9000000,27800000,8,712,900000,6700000,24400000,5800000,1
342,5,Graduate,Yes,6400000,23900000,6,406,14700000,12400000,25400000,4300000,0
343,4,Not Graduate,No,7600000,30300000,12,339,20400000,8000000,22200000,5800000,0
344,2,Graduate,No,1500000,3300000,4,763,300000,1200000,5400000,700000,1
345,4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1
346,0,Graduate,No,9800000,38800000,8,652,23200000,19000000,29700000,5400000,1
347,1,Not Graduate,Yes,1300000,5000000,4,610,3400000,800000,4500000,900000,1
348,3,Graduate,Yes,4400000,15300000,16,865,1200000,8400000,15000000,3400000,1
349,1,Graduate,No,7900000,15800000,8,551,800000,3500000,18700000,8300000,1
350,5,Graduate,No,5300000,13400000,8,719,1600000,200000,11400000,5300000,1
351,3,Not Graduate,No,7500000,25200000,8,316,1000000,800000,18300000,9000000,0
352,0,Not Graduate,No,9800000,29400000,20,618,1200000,14600000,33800000,8300000,1
353,2,Graduate,Yes,8300000,19500000,4,415,2300000,9400000,21700000,8600000,0
354,3,Not Graduate,Yes,9500000,24200000,8,879,3100000,17200000,26400000,12700000,1
355,4,Not Graduate,No,5800000,12800000,2,656,500000,5000000,16000000,2800000,1
356,1,Graduate,Yes,6800000,27200000,2,702,4600000,2400000,27100000,6300000,1
357,4,Not Graduate,Yes,6600000,22100000,6,887,3600000,3500000,19800000,4700000,1
358,5,Not Graduate,Yes,7100000,21500000,4,557,8900000,8000000,26400000,4000000,1
359,2,Not Graduate,No,5400000,11900000,6,303,15000000,9200000,15400000,6900000,0
360,2,Graduate,No,2300000,8800000,18,336,1800000,800000,5200000,1500000,0
361,0,Not Graduate,No,1100000,4300000,18,828,700000,800000,2900000,900000,1
362,1,Graduate,No,700000,1400000,6,759,1000000,500000,2600000,700000,1
363,3,Not Graduate,Yes,5400000,14700000,4,359,12300000,9900000,15100000,6100000,0
364,4,Graduate,No,400000,1400000,18,827,-100000,0,900000,600000,1
365,3,Graduate,No,4000000,12800000,18,635,6000000,7000000,12900000,4200000,1
366,4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0
367,0,Graduate,Yes,6900000,26800000,20,515,10800000,2500000,16700000,8300000,0
368,2,Not Graduate,Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1
369,3,Graduate,No,4500000,16900000,18,748,8500000,7200000,15100000,6600000,1
370,2,Not Graduate,No,5900000,20800000,14,530,7100000,5800000,13100000,8800000,0
371,0,Not Graduate,No,8400000,20800000,20,590,5100000,8900000,32100000,10800000,1
372,0,Graduate,No,7400000,24100000,16,779,800000,2900000,28900000,4900000,1
373,3,Not Graduate,Yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000,1
374,5,Not Graduate,No,2500000,8800000,10,769,3700000,1600000,8200000,2700000,1
375,4,Graduate,No,1300000,4600000,10,312,1800000,600000,3100000,800000,0
376,5,Graduate,Yes,1600000,4100000,2,748,1400000,1000000,4200000,1000000,1
377,1,Graduate,No,2700000,6800000,20,713,500000,3300000,6100000,1900000,1
378,1,Graduate,No,2100000,8100000,6,817,4600000,2900000,4900000,2900000,1
379,0,Graduate,Yes,2900000,7500000,18,692,3200000,300000,7500000,4000000,1
380,0,Graduate,Yes,2300000,6000000,8,690,5500000,2900000,6000000,2000000,1
381,1,Not Graduate,No,4900000,12500000,2,636,14200000,6400000,13900000,5000000,1
382,1,Not Graduate,Yes,4700000,18700000,20,445,2100000,0,11100000,4000000,0
383,5,Graduate,Yes,2300000,6700000,16,612,6700000,3300000,8800000,2000000,1
384,1,Graduate,No,1900000,4200000,12,821,5200000,1500000,5000000,2700000,1
385,0,Not Graduate,No,5700000,21300000,4,697,3000000,6800000,20000000,5500000,1
386,0,Graduate,No,4400000,14100000,2,349,3300000,1300000,8800000,6200000,1
387,1,Graduate,Yes,1800000,4400000,8,689,3200000,2500000,3800000,1600000,1
388,1,Graduate,No,2800000,6900000,14,553,400000,4900000,6800000,4200000,1
389,3,Graduate,Yes,5800000,23000000,16,361,6000000,10100000,23000000,2800000,0
390,1,Graduate,No,4100000,8400000,20,608,1400000,8000000,10000000,4400000,1
391,1,Not Graduate,No,6600000,19700000,12,758,16000000,4400000,18800000,9500000,1
392,4,Graduate,No,8000000,29100000,4,421,3100000,12000000,27000000,8800000,1
393,5,Graduate,Yes,2300000,6100000,6,339,5100000,2500000,8300000,2400000,0
394,5,Not Graduate,No,9900000,33600000,20,580,7000000,10800000,37400000,14700000,1
395,4,Graduate,No,2300000,5400000,16,490,6200000,3700000,5500000,2100000,0
396,5,Graduate,Yes,700000,2600000,2,869,1100000,500000,1400000,500000,1
397,4,Graduate,No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,1
398,5,Graduate,Yes,9000000,31400000,2,677,12000000,10800000,20700000,8700000,1
399,5,Not Graduate,No,6500000,23200000,18,713,6700000,1400000,13400000,7200000,1
400,0,Graduate,No,2400000,5300000,16,482,5500000,4200000,8400000,2600000,0
401,5,Not Graduate,Yes,1400000,5100000,4,348,2100000,900000,4000000,1300000,1
402,0,Not Graduate,No,6200000,12900000,10,695,1900000,3700000,22200000,4200000,1
403,3,Graduate,Yes,8100000,19900000,20,347,22800000,14400000,29800000,5500000,0
404,4,Not Graduate,No,2000000,4700000,18,733,3700000,3700000,7000000,2800000,1
405,0,Graduate,Yes,1000000,2800000,12,616,700000,700000,3900000,700000,1
406,4,Not Graduate,No,3600000,8700000,14,302,6400000,3700000,7800000,4100000,0
407,1,Graduate,Yes,8700000,33900000,10,766,16300000,700000,19500000,9000000,1
408,2,Graduate,No,7100000,21400000,12,699,11400000,13400000,22600000,4800000,1
409,0,Graduate,Yes,4200000,13600000,4,834,8700000,3400000,12000000,3100000,1
410,1,Graduate,Yes,7100000,15200000,8,389,5900000,900000,24300000,5900000,0
411,2,Graduate,No,3300000,7900000,20,829,4800000,2100000,13200000,2600000,1
412,5,Graduate,No,7300000,26200000,10,751,1400000,12200000,26700000,10400000,1
413,5,Graduate,No,1100000,4000000,16,498,400000,100000,2300000,700000,0
414,5,Graduate,Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1
415,0,Graduate,No,4800000,18600000,6,618,12300000,5900000,16800000,4000000,1
416,4,Graduate,Yes,8900000,34000000,20,415,13500000,3100000,33600000,12800000,0
417,2,Not Graduate,Yes,6300000,18100000,6,671,7900000,8200000,13200000,5400000,1
418,5,Not Graduate,Yes,2100000,4900000,12,651,2500000,2100000,6100000,1800000,1
419,0,Not Graduate,No,4800000,18800000,16,551,7900000,9400000,17300000,5500000,1
420,5,Not Graduate,Yes,2300000,5000000,10,431,300000,3700000,8700000,2900000,0
421,4,Graduate,Yes,5600000,14100000,14,696,9000000,9200000,16500000,6800000,1
422,3,Graduate,No,3900000,10700000,6,790,10600000,1900000,12500000,2700000,1
423,3,Graduate,Yes,6100000,24200000,12,672,300000,11100000,23500000,5000000,1
424,3,Graduate,No,4300000,16300000,10,366,6900000,6700000,12300000,5500000,0
425,5,Not Graduate,No,9000000,29300000,4,531,10400000,9500000,35500000,5800000,1
426,4,Graduate,Yes,700000,2400000,14,705,0,100000,2000000,700000,1
427,5,Not Graduate,No,6300000,14800000,6,608,16100000,10500000,21800000,5400000,1
428,3,Graduate,Yes,1400000,3500000,12,610,1200000,600000,3800000,1400000,1
429,0,Not Graduate,No,800000,2400000,2,716,700000,1200000,3100000,400000,1
430,1,Not Graduate,No,1000000,3400000,18,578,2300000,400000,3100000,1200000,1
431,3,Graduate,No,2100000,7700000,6,703,700000,4000000,8200000,1300000,1
432,1,Graduate,No,4700000,14000000,2,411,4600000,5100000,10600000,3700000,0
433,4,Not Graduate,Yes,1600000,4800000,20,641,4200000,1000000,4100000,1400000,1
434,3,Not Graduate,Yes,5900000,19200000,10,442,9500000,500000,18300000,4700000,0
435,3,Graduate,Yes,7500000,25100000,18,554,12500000,7900000,28500000,4700000,1
436,3,Graduate,Yes,900000,3500000,4,770,700000,0,2000000,600000,0
437,3,Not Graduate,No,7100000,27900000,8,583,8900000,7600000,19600000,6300000,1
438,3,Not Graduate,Yes,5200000,11000000,12,830,8900000,5100000,16000000,7600000,1
439,1,Graduate,Yes,400000,700000,10,787,1000000,200000,1600000,500000,1
440,3,Not Graduate,Yes,9200000,28900000,8,538,13900000,8300000,32400000,4900000,0
441,5,Not Graduate,Yes,1300000,5000000,10,755,2100000,2200000,4800000,1900000,1
442,5,Graduate,No,4100000,10200000,12,431,6200000,2200000,13700000,4300000,0
443,3,Graduate,No,2600000,6300000,10,783,6500000,2400000,6500000,2600000,1
444,0,Graduate,No,2200000,6400000,4,854,900000,1600000,6500000,1300000,1
445,1,Not Graduate,Yes,700000,1400000,10,523,700000,1100000,1600000,900000,0
446,1,Graduate,No,7000000,27100000,6,591,6700000,12200000,21500000,4900000,1
447,5,Graduate,Yes,8000000,21500000,12,779,2600000,15100000,29800000,10400000,1
448,3,Graduate,No,3100000,11200000,16,865,3600000,4600000,6600000,4200000,1
449,5,Graduate,Yes,2600000,8600000,18,651,1000000,100000,7800000,2600000,1
450,1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0
451,3,Not Graduate,Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000,0
452,2,Not Graduate,Yes,1800000,3600000,4,343,3400000,1100000,6200000,1500000,0
453,2,Graduate,No,6400000,16500000,8,544,12100000,6300000,15200000,5400000,0
454,5,Graduate,Yes,9200000,29400000,8,318,18000000,5900000,33800000,5400000,0
455,1,Not Graduate,No,4400000,12100000,4,884,9800000,6500000,15000000,6000000,1
456,3,Not Graduate,No,6600000,21400000,10,467,15200000,6000000,20300000,5200000,0
457,2,Graduate,Yes,3100000,10700000,4,398,3100000,3000000,7400000,2000000,1
458,0,Not Graduate,Yes,2000000,4600000,16,651,2100000,2400000,7200000,1600000,1
459,5,Graduate,Yes,5700000,20500000,16,429,2800000,1900000,22400000,3900000,0
460,0,Not Graduate,Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000,0
461,3,Graduate,Yes,5000000,13900000,8,555,12300000,6700000,18100000,4800000,1
462,5,Not Graduate,No,1900000,7500000,20,715,5100000,2800000,6500000,2800000,1
463,0,Graduate,Yes,7000000,14000000,4,702,9000000,3100000,21400000,7600000,1
464,1,Graduate,No,7000000,20500000,10,414,19700000,7500000,20700000,5100000,0
465,0,Not Graduate,Yes,4300000,15600000,18,440,6200000,1300000,10000000,4700000,0
466,5,Graduate,No,2000000,6100000,2,407,1900000,1900000,4600000,2000000,1
467,5,Graduate,Yes,8700000,28100000,10,660,25500000,800000,25900000,10100000,1
468,5,Graduate,No,5300000,20500000,16,802,11200000,7100000,21100000,4100000,1
469,4,Not Graduate,Yes,2000000,4000000,10,636,2100000,0,4000000,1700000,1
470,4,Not Graduate,No,8300000,17900000,20,846,12700000,1300000,26800000,12200000,1
471,0,Not Graduate,No,8000000,31000000,8,847,4900000,9500000,29600000,5700000,1
472,4,Graduate,No,4500000,15300000,10,843,13200000,6900000,10800000,2200000,1
473,0,Not Graduate,Yes,1200000,2800000,14,892,3200000,100000,3300000,1700000,1
474,1,Not Graduate,No,8800000,17500000,20,832,1800000,3600000,24000000,7400000,1
475,1,Not Graduate,Yes,800000,2600000,2,439,600000,0,1800000,400000,1
476,0,Not Graduate,Yes,1800000,3900000,2,764,2200000,700000,3500000,1200000,1
477,4,Not Graduate,No,7600000,28100000,12,324,12500000,8500000,19900000,11100000,0
478,2,Not Graduate,Yes,3800000,11400000,16,666,9000000,2400000,8000000,3800000,1
479,5,Graduate,Yes,5500000,18800000,12,603,3300000,700000,21000000,5000000,1
480,4,Not Graduate,No,600000,1600000,6,784,300000,100000,1900000,500000,1
481,0,Graduate,No,1400000,5400000,8,592,4100000,400000,4300000,800000,1
482,2,Graduate,Yes,8300000,27900000,18,840,12600000,3500000,19100000,9200000,1
483,2,Graduate,No,9400000,25100000,20,832,19400000,2100000,22300000,5900000,1
484,2,Graduate,No,9700000,19900000,16,395,2800000,13700000,37000000,10800000,0
485,5,Graduate,Yes,3900000,9000000,8,340,4900000,6800000,9000000,5200000,0
486,1,Graduate,No,4400000,10700000,18,324,2200000,3300000,12700000,5400000,0
487,4,Graduate,No,4700000,10400000,6,373,6800000,8600000,14300000,5400000,0
488,1,Not Graduate,No,3200000,6600000,16,534,8800000,2600000,6500000,1800000,0
489,2,Graduate,No,5700000,20500000,8,412,5800000,4300000,21200000,4900000,0
490,3,Graduate,Yes,3000000,7100000,6,415,2000000,5700000,9500000,2500000,0
491,5,Graduate,Yes,5400000,11200000,10,447,300000,7900000,21400000,6000000,0
492,3,Not Graduate,Yes,8800000,26700000,12,708,16000000,15300000,26900000,9600000,1
493,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0
494,0,Graduate,No,5200000,12200000,16,783,5000000,2000000,11400000,5100000,1
495,3,Graduate,Yes,3200000,8600000,2,427,3900000,1800000,7100000,4700000,0
496,3,Not Graduate,Yes,4500000,13100000,12,570,10500000,2000000,10100000,5800000,1
497,5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0
498,4,Not Graduate,No,7300000,19800000,8,724,5500000,6000000,29000000,10300000,1
499,1,Not Graduate,No,2300000,8200000,8,784,2000000,0,7600000,1100000,1
500,5,Graduate,No,8100000,21900000,18,378,5200000,3400000,16200000,9600000,0
501,3,Not Graduate,No,5500000,16200000,18,778,4700000,10700000,15300000,6100000,1
502,5,Not Graduate,No,600000,2000000,20,811,300000,400000,1900000,600000,1
503,3,Graduate,No,8300000,17700000,16,848,10500000,1100000,18700000,5900000,1
504,3,Graduate,Yes,6300000,23300000,4,347,18300000,12200000,21100000,8100000,1
505,4,Not Graduate,Yes,2100000,5500000,18,349,100000,0,6600000,2000000,0
506,5,Graduate,No,2800000,7200000,16,424,900000,5000000,6100000,3200000,0
507,1,Not Graduate,Yes,800000,2800000,16,726,2000000,1300000,3100000,1200000,1
508,0,Not Graduate,Yes,9600000,34000000,12,710,23800000,10300000,38100000,7800000,1
509,2,Graduate,No,1000000,3700000,18,892,2200000,800000,3000000,500000,1
510,1,Not Graduate,Yes,4300000,9400000,6,543,7400000,5200000,14800000,4200000,0
511,2,Not Graduate,Yes,6400000,19300000,6,414,7200000,1800000,19100000,3900000,0
512,0,Graduate,Yes,1000000,3200000,8,304,500000,600000,3700000,700000,0
513,5,Graduate,Yes,4200000,8500000,4,386,8700000,4600000,10500000,6000000,0
514,4,Graduate,Yes,9200000,25400000,14,765,21200000,6600000,25100000,5600000,1
515,3,Graduate,No,7400000,28800000,8,391,20000000,7900000,23600000,7200000,0
516,2,Graduate,No,2500000,8200000,10,429,1500000,4100000,5900000,2200000,0
517,3,Not Graduate,Yes,500000,1700000,2,811,500000,500000,1400000,200000,1
518,3,Graduate,No,7900000,27000000,6,601,17700000,7800000,27600000,11500000,1
519,2,Graduate,Yes,8300000,30100000,16,636,5200000,5100000,33100000,7200000,1
520,5,Graduate,No,6600000,21400000,10,447,12700000,11100000,20200000,6400000,0
521,3,Not Graduate,Yes,4900000,17500000,20,823,12600000,8700000,14300000,4800000,1
522,0,Not Graduate,Yes,8800000,29800000,8,343,20000000,4900000,33300000,12200000,0
523,0,Graduate,Yes,6700000,15600000,16,768,300000,1800000,26000000,3800000,1
524,2,Not Graduate,Yes,8300000,20600000,10,504,100000,900000,33200000,6700000,0
525,5,Not Graduate,No,8000000,30000000,14,549,14800000,200000,17300000,7000000,0
526,1,Not Graduate,Yes,3900000,8700000,8,817,900000,2500000,10700000,2100000,1
527,4,Not Graduate,Yes,7800000,19500000,14,739,1900000,9000000,20400000,4400000,1
528,5,Graduate,No,7600000,26000000,6,778,12900000,2400000,25500000,10900000,1
529,2,Not Graduate,No,8200000,30600000,10,343,9800000,11500000,16900000,7000000,0
530,3,Graduate,Yes,2200000,4400000,2,861,1300000,2600000,4500000,2300000,1
531,3,Graduate,No,3500000,8500000,18,609,7300000,0,12700000,2500000,1
532,0,Not Graduate,Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,1
533,3,Graduate,Yes,2300000,8000000,14,472,4400000,3300000,7700000,1800000,0
534,5,Graduate,Yes,2300000,5600000,8,642,2600000,1900000,8600000,2500000,1
535,0,Graduate,No,9400000,33000000,4,616,15400000,5000000,25100000,7800000,1
536,1,Graduate,Yes,5000000,12500000,20,604,4100000,100000,12200000,7400000,1
537,5,Graduate,No,4700000,14400000,16,884,9900000,4400000,9300000,3800000,1
538,1,Not Graduate,No,4100000,11100000,6,405,12000000,2900000,9000000,5900000,0
539,2,Graduate,No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1
540,2,Not Graduate,No,6100000,15300000,2,799,7100000,5500000,17800000,5300000,1
541,3,Graduate,Yes,5400000,14400000,8,677,11000000,7900000,20800000,3100000,1
542,2,Not Graduate,No,3500000,14000000,2,355,8700000,1600000,11800000,2900000,1
543,4,Not Graduate,Yes,3300000,10600000,8,465,500000,4400000,7300000,2800000,0
544,4,Not Graduate,No,5500000,12300000,6,742,12900000,2700000,19800000,4300000,1
545,4,Not Graduate,Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000,1
546,5,Graduate,Yes,3400000,9800000,8,559,3500000,2900000,8300000,2200000,1
547,5,Not Graduate,Yes,9800000,35700000,10,726,9400000,18900000,31200000,12000000,1
548,3,Not Graduate,No,4100000,8500000,2,833,12000000,0,16200000,3400000,1
549,3,Graduate,No,4900000,12800000,14,653,7300000,1000000,13000000,7200000,1
550,2,Graduate,No,8000000,27100000,12,674,14400000,400000,25300000,6400000,1
551,0,Graduate,No,4400000,14700000,16,638,4000000,2700000,14400000,2700000,1
552,2,Graduate,No,4900000,18500000,8,492,12900000,5000000,10200000,5800000,0
553,1,Graduate,Yes,9300000,27900000,12,600,2100000,4200000,29000000,6600000,1
554,1,Graduate,No,5900000,15200000,2,547,17100000,2000000,14700000,3600000,0
555,2,Not Graduate,No,7000000,24200000,6,892,20600000,500000,21400000,9200000,1
556,1,Graduate,No,2700000,10000000,2,584,6500000,2700000,7700000,3400000,1
557,2,Graduate,No,4700000,17700000,14,675,5800000,7200000,13100000,6500000,1
558,4,Graduate,No,3400000,8300000,2,567,5700000,1900000,10200000,2700000,1
559,0,Not Graduate,No,9000000,35100000,6,898,500000,16200000,20700000,9100000,1
560,4,Not Graduate,No,4100000,13100000,14,772,11200000,4200000,10500000,3800000,1
561,1,Graduate,Yes,8600000,19600000,16,498,14800000,3000000,21000000,5300000,0
562,3,Not Graduate,No,9100000,27400000,18,652,8500000,7300000,31700000,6800000,1
563,4,Not Graduate,Yes,4300000,11400000,2,560,10000000,3900000,8900000,3300000,1
564,3,Not Graduate,No,4500000,16100000,16,671,10500000,3600000,12400000,5800000,1
565,4,Graduate,No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,1
566,0,Graduate,No,3500000,7800000,14,366,6400000,3000000,13700000,4900000,0
567,3,Not Graduate,Yes,2200000,8800000,2,877,5000000,1300000,6400000,3100000,1
568,3,Graduate,No,800000,2500000,12,828,1700000,0,1500000,700000,1
569,3,Graduate,No,8400000,31100000,18,599,20600000,14100000,20500000,8500000,1
